id uczestnika,pesel,id_zdarzenia
1,74865280244,1
2,61420053516,2
3,88415869387,3
4,27855746826,4
5,71144200894,5
6,69685025999,6
7,42472656509,7
8,45832053362,8
9,65484606032,9
10,92126005363,10
11,38613723801,11
12,36265411937,12
13,75113871020,13
14,52725508552,14
15,47468429721,15
16,54886945280,16
17,72485494306,17
18,69029737838,18
19,79758294326,19
20,70139858189,20
21,43968763070,21
22,82187555292,22
23,11473462187,23
24,96702205774,24
25,61247089618,25
26,78375440696,26
27,25886915510,27
28,73240094881,28
29,30713138431,29
30,50192896667,30
31,29866041066,31
32,85470776207,32
33,53407772616,33
34,13776129464,34
35,80718999908,35
36,27133455820,36
37,14110421284,37
38,23964435301,38
39,98954150866,39
40,99810710297,40
41,60054956103,41
42,79602577877,42
43,96778964657,43
44,81052643487,44
45,92195421838,45
46,82076395941,46
47,64741257319,47
48,24949923966,48
49,78906242954,49
50,16136624784,50
51,84449444446,51
52,34579746585,52
53,69826066194,53
54,93199191260,54
55,20392883738,55
56,54380986971,56
57,26640313037,57
58,66745336209,58
59,23653067543,59
60,96312144008,60
61,49379459486,61
62,25935333990,62
63,91848420306,63
64,76312615958,64
65,18383759898,65
66,14353221878,66
67,19651755989,67
68,44605979998,68
69,20781571579,69
70,41821696733,70
71,78944610696,71
72,99313354408,72
73,16473954187,73
74,50197536731,74
75,57091887034,75
76,87193444735,76
77,21307994778,77
78,40627811826,78
79,65569564989,79
80,91994884155,80
81,76553275409,81
82,62646361437,82
83,25279253656,83
84,46371663108,84
85,64353292089,85
86,89916434072,86
87,82998629561,87
88,21660859825,88
89,71963079470,89
90,11439053445,90
91,43624742823,91
92,22111757985,92
93,49918275127,93
94,13169842866,94
95,15210217321,95
96,72180630090,96
97,28302509514,97
98,62010799923,98
99,20126178123,99
100,93938532442,100
101,75040242260,22
102,60786361491,34
103,42180856799,73
104,14218287589,31
105,44126356409,94
106,12597078928,74
107,22484214127,24
108,78387828010,44
109,24882583400,31
110,29066623156,15
111,31627732380,30
112,54880891883,50
113,97474858695,56
114,96710179712,34
115,23424007711,68
116,24888903718,49
117,62950451595,58
118,11336689596,36
119,41705968895,21
120,95842501357,72
121,20027414302,85
122,50314689294,12
123,76723830583,77
124,85152825688,76
125,64065212227,12
126,56653335083,77
127,86254298870,76
128,55028515526,21
129,91373649334,87
130,41644256335,76
131,40640264857,80
132,85479187395,3
133,43329974756,15
134,70578750979,64
135,35640060190,52
136,38839101680,48
137,98134344540,84
138,46593152111,1
139,48212908877,69
140,19095252191,18
141,86569385780,42
142,22713397648,43
143,89645891664,94
144,71091554330,73
145,35784160318,19
146,12037837427,25
147,53232297887,73
148,83202949911,80
149,96830806884,97
150,91379394826,22
151,73383213163,53
152,40991726993,29
153,38974894222,66
154,94571874627,54
155,44702925996,90
156,41319024390,82
157,58824493634,25
158,39592304484,1
159,31474830135,35
160,32440967330,54
161,63736650477,43
162,74602282200,47
163,87800005353,72
164,30454054958,101
165,71376744338,87
166,96625789205,24
167,67523825627,62
168,27454483496,97
169,74961687583,41
170,30637186811,20
171,24990436372,57
172,17594517619,75
173,86236664160,52
174,59057366104,11
175,30834754584,24
176,92257350488,40
177,46680348088,19
178,19387850979,83
179,24106750442,36
180,94267040574,27
181,95342580694,97
182,32983908906,84
183,51219309309,33
184,87936523165,34
185,30924992863,17
186,20337981638,87
187,88210751596,41
188,90941070793,70
189,99550845017,21
190,12053216577,3
191,80979898310,53
192,31695699968,95
193,58530662138,79
194,11866974856,81
195,90746107755,18
196,52987956377,21
197,92639698102,60
198,78683160593,42
199,14527436322,69
200,68990811608,35
