id_funckjonariuszy,pesel
21,21122273928
22,52061477068
23,59629943379
24,22198351624
25,52966295420
26,63304778000
27,12425823963
28,43429268851
29,28010254410
30,94246553573
31,79127536526
32,75350130884
33,25116527981
34,42186211666
35,77422263543
36,52571645152
37,63305954556
38,66497744860
39,33251087662
40,35990885428
41,17448727596
42,34052661554
43,54542835694
44,20053727019
45,69031566145
46,59832820557
47,91545653840
48,61200856509
49,79094191493
50,18437011342
51,74014191179
52,27950415259
53,68720182534
54,71379656844
55,35814989774
56,50936347926
57,27498150221
58,30402930684
59,46144967048
60,70050241369
61,45365706724
62,71192660760
63,76744150298
64,62647915164
65,43302988166
66,45247096227
67,84929601293
68,44054470593
69,66423088290
70,91991134867
71,51922883136
72,29231183925
73,51266253705
74,11311079774
75,34950036390
76,79444864672
77,90509212871
78,94546426728
79,69968007566
80,70770821564
81,55235946074
82,71242887646
83,55475629470
84,55349232981
85,59392857452
86,88504112282
87,63908616963
88,16577178566
89,92404140439
90,17608829376
91,31256063604
92,63820345531
93,54276567219
94,78120415141
95,19439716849
96,82223628860
97,67195641469
98,12618846544
99,64090978711
100,59323082020
101,11073510280
102,85478048868
103,88997559310
104,17577999889
105,75959551713
106,93084434154
107,21639224400
108,34017746570
109,23948244759
110,74045687015
111,90630356845
112,49467655891
113,82825021557
114,27961695683
115,11099198098
116,33810778451
117,27790217056
118,82780836443
119,78114839182
120,22387044231
