pesel,imie,nazwisko,data urodzenia,plec
58860546088,Ples,SMITH,1981-01-01,mezczyzna
85008146367,Christine,JOHNSON,1992-11-04,kobieta
93986538004,Cordelia,WILLIAMS,1973-02-09,kobieta
46004958931,Alton,BROWN,1994-07-25,mezczyzna
81981420756,Malcolm,JONES,1976-01-22,mezczyzna
45875334737,Joe,MILLER,1997-11-05,mezczyzna
96352479625,Latonya,DAVIS,1970-02-18,kobieta
82556011048,Elna,GARCIA,1989-08-24,kobieta
69782982019,Squire,RODRIGUEZ,1966-08-11,mezczyzna
72479056701,Joseph,WILSON,1994-03-18,kobieta
65386372545,Erwin,MARTINEZ,1971-02-12,mezczyzna
34431004170,Romaine,ANDERSON,1994-10-26,kobieta
94927591235,Etha,TAYLOR,1988-01-07,kobieta
88354940781,Lavern,THOMAS,1971-08-01,mezczyzna
44755472165,Gaylon,HERNANDEZ,1981-03-26,mezczyzna
12049847597,Lavern,MOORE,1977-03-25,mezczyzna
54633941072,Rogers,MARTIN,1984-11-19,mezczyzna
31388747498,Daisy,JACKSON,1986-06-16,kobieta
46424298908,Elden,THOMPSON,1972-09-29,mezczyzna
48907291650,Georgia,WHITE,1986-12-25,kobieta
98403275290,Norris,LOPEZ,1976-10-10,mezczyzna
54608542726,Emmanuel,LEE,1964-02-05,mezczyzna
16012609189,Juana,GONZALEZ,1980-07-15,kobieta
63238481463,Gracie,HARRIS,1987-05-13,kobieta
88687638189,Marc,CLARK,1990-12-08,mezczyzna
85884134232,Mabel,LEWIS,1990-01-24,kobieta
99726583871,Cathryn,ROBINSON,1993-08-12,kobieta
70940094957,Winnifred,WALKER,1964-09-29,kobieta
80685384184,Laquita,PEREZ,1993-12-29,kobieta
45270466727,Elisa,HALL,1973-11-20,kobieta
24958674091,Shirley,YOUNG,1981-11-14,mezczyzna
21493451816,Gustavo,ALLEN,1987-01-05,mezczyzna
29938233987,Emile,SANCHEZ,1994-06-23,mezczyzna
44339184867,Mable,WRIGHT,1978-06-27,kobieta
65556066465,Kirby,KING,1963-03-31,mezczyzna
82838644071,Chet,SCOTT,1960-04-23,mezczyzna
92504037517,Carmel,GREEN,1966-07-04,kobieta
24257353519,Lenwood,BAKER,1974-08-15,mezczyzna
32500283251,Amanda,ADAMS,1966-02-12,kobieta
94717490009,Jan,NELSON,1979-02-02,mezczyzna
98119180651,Ezra,HILL,1982-05-17,mezczyzna
17423662640,Mabelle,RAMIREZ,1998-06-12,kobieta
80778865081,Otis,CAMPBELL,1988-04-07,mezczyzna
85283597335,Richmond,MITCHELL,1986-02-04,mezczyzna
32354348031,Clarice,ROBERTS,1973-11-09,kobieta
81680835574,Merrill,CARTER,1991-01-16,mezczyzna
71749351809,Neva,PHILLIPS,1993-10-02,kobieta
92075136454,Bertie,EVANS,1984-07-17,mezczyzna
