id_funckjonariuszy,imie,nazwisko,pesel,data urodzenia,wyksztalcenie,ranga,data zaczecia sluzby,data zakonczenia sluzby
21,Cullen,SMITH,32153249090,1985-12-20,zasadnicze branzowe,aspirant,2019-05-12,
22,Kathi,JOHNSON,13743709061,1991-01-02,zasadnicze zawodowe,aspirant,2020-08-06,
23,Rafael,WILLIAMS,63706629712,1970-02-24,zasadnicze branzowe,aspirant,2019-11-05,
24,Clay,BROWN,28826516064,1994-02-16,srednie,starszy_aspirant,2020-03-13,
25,Dock,JONES,79959448139,1995-12-18,srednie,aspirant,2019-02-04,
26,Israel,MILLER,68760718743,1972-12-29,zasadnicze zawodowe,aspirant,2020-01-12,
27,Rayford,DAVIS,54336752820,1978-02-16,srednie,aspirant,2020-04-02,
28,Lennie,GARCIA,87999968708,1964-01-13,wyzsze,aspirant,2019-10-03,
29,Foster,RODRIGUEZ,61227339213,1977-12-10,srednie,aspirant,2020-12-29,
30,Alan,WILSON,32174631306,1980-01-25,srednie,komisarz,2020-10-29,
31,Tami,MARTINEZ,77456982124,1991-06-01,zasadnicze zawodowe,aspirant,2019-06-01,
32,Magnolia,ANDERSON,74342556215,1988-05-30,srednie branzowe,aspirant,2020-10-13,
33,Lillie,TAYLOR,15816980026,1962-05-18,wyzsze,aspirant,2019-04-16,
34,Eulalia,THOMAS,58596019067,1977-07-05,srednie branzowe,aspirant,2019-04-06,
35,Solomon,HERNANDEZ,11382565198,1984-05-23,zasadnicze zawodowe,aspirant,2020-06-30,
36,Orin,MOORE,52446658726,1995-09-12,zasadnicze branzowe,aspirant,2019-02-25,
37,Adolph,MARTIN,86298856664,1984-07-24,zasadnicze branzowe,aspirant,2019-12-13,
38,Rubin,JACKSON,17568748508,1967-03-18,srednie branzowe,aspirant,2019-08-19,
39,Steven,THOMPSON,28654472253,1994-02-02,srednie,aspirant,2019-11-29,
40,Odelia,WHITE,69407543188,1973-11-09,zasadnicze zawodowe,aspirant,2020-10-18,
41,Franklin,LOPEZ,13845101908,1973-11-08,srednie,aspirant,2020-03-08,
42,Jacques,LEE,36560865543,1964-02-06,zasadnicze zawodowe,aspirant,2020-07-06,
43,Brandon,GONZALEZ,71484108670,1985-03-02,zasadnicze zawodowe,aspirant,2020-04-07,
44,Nathan,HARRIS,43368405159,1987-12-18,srednie branzowe,aspirant,2020-10-13,
45,Leilani,CLARK,15400276843,1971-04-06,wyzsze,aspirant,2020-11-17,
46,Hilton,LEWIS,72859353864,1993-03-18,wyzsze,aspirant,2019-01-21,
47,Kalen,ROBINSON,71564765505,1966-12-05,srednie branzowe,aspirant,2019-02-01,
48,Brian,WALKER,86664368354,1992-12-16,srednie,aspirant,2020-02-15,
49,Bettye,PEREZ,43532958328,1973-10-18,wyzsze,aspirant,2019-04-11,
50,Carmen,HALL,54381253533,1966-09-09,zasadnicze branzowe,starszy_aspirant,2020-11-28,
51,Wendell,YOUNG,67171833723,1967-09-17,srednie branzowe,aspirant,2020-07-26,
52,Trever,ALLEN,14058990513,1996-11-18,zasadnicze branzowe,starszy_aspirant,2019-03-16,
53,Arla,SANCHEZ,65814830056,1994-01-20,srednie,aspirant,2019-07-27,
54,Mikayla,WRIGHT,13935197390,1982-10-03,zasadnicze branzowe,aspirant,2019-12-02,
55,Meredith,KING,45876559620,1995-09-04,wyzsze,aspirant,2020-12-17,
56,Madge,SCOTT,38859006563,1971-02-10,zasadnicze branzowe,aspirant,2020-09-07,
57,Marian,GREEN,60630572580,1989-02-28,wyzsze,aspirant,2019-04-12,
58,Selena,BAKER,18940400436,1986-08-20,zasadnicze branzowe,aspirant,2020-07-23,
59,Kia,ADAMS,80406757671,1996-02-16,srednie,komisarz,2020-02-27,
60,Deann,NELSON,89435627538,1967-08-13,zasadnicze zawodowe,aspirant,2019-06-05,
61,Elvira,HILL,66021930532,1974-05-24,srednie,aspirant,2019-01-12,
62,Nicholas,RAMIREZ,33518043279,1978-03-01,zasadnicze branzowe,aspirant,2019-07-30,
63,William,CAMPBELL,20808922042,1989-04-21,zasadnicze branzowe,aspirant,2019-03-22,
64,Glenna,MITCHELL,73351656621,1998-01-29,zasadnicze zawodowe,aspirant,2019-02-13,
65,Jan,ROBERTS,79402779530,1976-03-14,zasadnicze branzowe,aspirant,2020-10-22,
66,Al,CARTER,44609248585,1963-10-15,srednie,aspirant,2019-08-21,
67,Keith,PHILLIPS,67853114252,1991-02-12,srednie branzowe,aspirant,2019-02-19,
68,Bonnie,EVANS,99315832103,1971-11-23,zasadnicze zawodowe,aspirant,2020-07-27,
69,Leta,TURNER,25114328248,1960-12-25,zasadnicze zawodowe,aspirant,2020-02-03,
70,Annie,TORRES,32262396688,1963-08-07,zasadnicze branzowe,starszy_aspirant,2020-10-15,
71,Tammie,PARKER,78602094132,1984-12-17,srednie,aspirant,2019-09-16,
72,Juan,COLLINS,65224575824,1964-01-15,wyzsze,aspirant,2020-02-12,
73,Kasey,EDWARDS,14502571090,1969-02-05,zasadnicze branzowe,aspirant,2019-10-20,
74,Shelby,STEWART,69938936835,1964-10-26,zasadnicze branzowe,aspirant,2019-07-18,
75,Mauricio,FLORES,28312039967,1974-03-29,srednie branzowe,aspirant,2019-12-13,
76,Joanne,MORRIS,28135929048,1978-02-26,zasadnicze zawodowe,aspirant,2020-07-03,
77,Kelvin,NGUYEN,87309514270,1989-01-27,zasadnicze zawodowe,starszy_aspirant,2020-11-08,
78,Gonzalo,MURPHY,31103751415,1974-05-26,srednie,aspirant,2020-11-09,
79,Ivory,RIVERA,91004426065,1969-03-30,zasadnicze branzowe,komisarz,2020-11-30,
80,Dwayne,COOK,97491686664,1984-03-21,srednie branzowe,aspirant,2019-01-03,
81,Jamie,ROGERS,13647978182,1963-08-23,wyzsze,aspirant,2019-10-09,
82,Evalyn,MORGAN,57859792969,1989-08-06,zasadnicze branzowe,komisarz,2020-12-19,
83,Emilia,PETERSON,91257244144,1967-05-16,srednie,aspirant,2019-08-25,
84,Alpha,COOPER,66040883792,1965-06-22,srednie branzowe,aspirant,2020-02-16,
85,Eloise,REED,31307700810,1979-08-18,srednie branzowe,aspirant,2020-01-10,
86,Anne,BAILEY,41016189421,1987-04-23,srednie branzowe,aspirant,2020-04-29,
87,Jennifer,BELL,69253060051,1989-02-26,zasadnicze zawodowe,aspirant,2020-08-18,
88,Clara,GOMEZ,79570340910,1962-01-20,zasadnicze zawodowe,aspirant,2020-02-26,
89,Octavia,KELLY,20610699473,1997-11-21,srednie,aspirant,2020-03-05,
90,Francina,HOWARD,34912092163,2000-03-21,srednie branzowe,aspirant,2020-02-01,
91,Clarance,WARD,98247342959,1973-10-14,zasadnicze zawodowe,aspirant,2019-04-11,
92,Diana,COX,71033237410,1999-09-09,zasadnicze zawodowe,aspirant,2019-08-14,
93,Lillian,DIAZ,12748108500,1966-05-13,srednie,komisarz,2020-01-18,
94,Wally,RICHARDSON,43573641343,1998-08-19,srednie branzowe,aspirant,2020-01-24,
95,Malcolm,WOOD,25384196508,1980-12-23,wyzsze,aspirant,2020-10-22,
96,Lyla,WATSON,10550683448,1976-07-21,zasadnicze zawodowe,aspirant,2020-11-12,
97,Jamey,BROOKS,46457865575,1964-12-05,zasadnicze branzowe,starszy_aspirant,2020-10-14,
98,Molly,BENNETT,75596639114,1988-02-12,srednie,aspirant,2019-08-28,
99,Kerrie,GRAY,48735513325,1996-06-24,srednie,aspirant,2019-04-06,
100,Mitchell,JAMES,84710797078,1981-12-08,zasadnicze zawodowe,aspirant,2020-09-06,
101,Codey,REYES,75511871817,1980-08-14,zasadnicze branzowe,aspirant,2020-08-04,
102,Watson,CRUZ,60923351808,1999-07-05,wyzsze,aspirant,2019-10-01,
103,Yolanda,HUGHES,44670232223,1988-08-12,srednie branzowe,starszy_aspirant,2019-12-22,
104,Lanie,PRICE,47537782546,1994-11-29,wyzsze,aspirant,2020-02-12,
105,Eugene,MYERS,33757759777,1986-11-23,srednie,aspirant,2019-05-16,
106,Cassie,LONG,69469756095,1970-10-28,srednie branzowe,aspirant,2020-03-06,
107,Yvonne,FOSTER,34222775554,1983-03-17,wyzsze,aspirant,2020-08-21,
108,Donell,SANDERS,94489482002,1979-12-14,srednie,starszy_aspirant,2019-08-21,
109,Charity,ROSS,93864439461,1963-12-02,zasadnicze branzowe,aspirant,2019-07-21,
110,Margarette,MORALES,29757475907,1978-01-08,zasadnicze zawodowe,aspirant,2020-04-22,
111,Elias,POWELL,74395913349,1982-08-27,wyzsze,aspirant,2019-03-18,
112,Brenda,SULLIVAN,90391846135,1980-08-28,srednie branzowe,aspirant,2019-08-05,
113,Calvin,RUSSELL,11418309306,1974-10-04,wyzsze,aspirant,2019-04-08,
114,Noel,ORTIZ,41599479963,1962-10-07,srednie branzowe,aspirant,2020-10-09,
115,Joann,JENKINS,69738998047,1966-01-27,wyzsze,starszy_aspirant,2020-08-13,
116,Yadira,GUTIERREZ,20800351413,1992-06-24,wyzsze,aspirant,2019-01-26,
117,Felix,PERRY,94540732201,1985-04-16,wyzsze,aspirant,2019-12-21,
118,Reese,BUTLER,78000575337,1972-12-06,zasadnicze branzowe,aspirant,2020-06-18,
119,Sally,BARNES,76832583907,1961-12-05,zasadnicze branzowe,aspirant,2019-11-12,
120,Claudine,FISHER,49328770888,1987-01-24,wyzsze,starszy_aspirant,2019-12-22,
